CustomerID,Age,Quantity,PurchaseFrequency,MembershipDuration,Gender_Encoded,City_Encoded,AgeGroup_Encoded,IncomeCategory_Encoded,CustomerValue_Encoded,MembershipType_Encoded,Income_Norm,Amount_Norm,SpendingScore_Norm
101,25.0,1.0,3,886,1,2,2,2,2,1,0.1463414634146341,0.9465240641711231,0.5
101,25.0,3.0,3,886,1,2,2,2,1,1,0.1463414634146341,0.0,0.025
101,25.0,2.0,3,886,1,2,2,2,0,1,0.1463414634146341,0.9465240641711231,1.0
102,32.5,2.0,1,1090,0,1,0,2,2,4,0.39024390243902446,0.25133689839572193,0.2777777777777778
103,35.0,1.0,1,932,1,2,0,2,1,0,0.27298311444652906,0.016042780748663103,0.016666666666666666
104,32.75,1.0,0,850,0,1,0,2,1,1,0.0853658536585366,0.29946524064171126,0.0
105,45.0,1.0,1,1379,1,0,0,0,2,3,1.0000000000000002,1.0,0.5277777777777778
106,28.0,2.0,1,0,0,2,2,1,2,2,0.0,0.3582887700534759,0.3888888888888889
107,32.75,1.0,0,1175,1,1,0,0,1,4,0.6951219512195124,0.29946524064171126,0.0
108,32.5,1.0,1,0,0,0,0,2,1,2,0.2926829268292683,0.06951871657754011,0.044444444444444446
109,32.0,1.0,1,799,1,2,0,2,1,0,0.27298311444652906,0.24064171122994654,0.13333333333333333
110,55.0,1.0,1,0,0,2,1,2,1,2,0.27298311444652906,0.29946524064171126,0.1638888888888889
111,22.0,2.0,1,996,1,1,2,2,2,1,0.12195121951219517,0.34759358288770054,0.3777777777777778
112,40.0,1.0,0,0,0,0,0,0,1,2,0.5731707317073171,0.29946524064171126,0.0
113,32.75,1.0,0,1282,1,2,0,2,1,4,0.20731707317073172,0.29946524064171126,0.0
114,60.0,1.0,0,0,0,1,1,2,1,2,0.4146341463414634,0.29946524064171126,0.0
115,33.0,1.0,0,751,1,0,0,2,1,3,0.27298311444652906,0.29946524064171126,0.0
